stock_code,trade_date,close_price,prev_close,prev_date,pct_chg,gap_days,adjust_factor,coverage_ratio
3152.TWO,2026-06-30,324.5,208.0,2026-06-22,0.560096,8,1.5600961538461535,0.9978438982319966
3171.TWO,2024-10-07,41.9,26.5,2024-09-25,0.581132,12,1.581132075471698,0.9801638637343684
3191.TWO,2024-02-21,22.95,10.45,2024-02-02,1.196172,19,2.196172248803828,0.9680896938335488
3219.TWO,2019-01-04,15.55,11.0,2018-12-13,0.413636,22,1.4136363636363638,0.7925830099180682
3229.TW,2022-01-10,17.0,6.5,2021-12-28,1.615385,13,2.6153846153846154,0.9926692539887882
3230.TWO,2021-03-24,16.4,8.17,2021-03-16,1.007344,8,2.00734394124847,0.9866321690383786
3259.TWO,2020-10-05,27.8,20.55,2020-09-23,0.352798,12,1.3527980535279804,0.9931004743423888
3259.TWO,2023-08-28,29.15,21.05,2023-08-16,0.384798,12,1.3847980997624705,0.9931004743423888
3288.TWO,2018-12-24,10.15,4.4,2018-12-13,1.306818,11,2.3068181818181817,0.8654592496765847
3288.TWO,2022-09-26,20.4,15.0,2022-09-14,0.36,12,1.36,0.8654592496765847
3308.TW,2022-01-06,16.6,12.1,2021-12-28,0.371901,9,1.371900826446281,0.9771453212591634
3311.TW,2019-09-23,23.3,14.5,2019-09-10,0.606897,13,1.606896551724138,0.9965502371711944
3321.TW,2023-08-31,14.25,6.52,2023-08-23,1.185583,8,2.1855828220858897,0.9926692539887882
3339.TWO,2020-10-19,11.55,5.76,2020-10-07,1.005208,12,2.005208333333333,0.9758516601983612
3372.TWO,2019-10-07,8.4,3.7,2019-09-26,1.27027,11,2.27027027027027,0.9974126778783958
3432.TW,2024-01-22,17.75,10.65,2024-01-10,0.666667,12,1.6666666666666663,0.9948253557567918
3494.TW,2021-11-29,5.16,3.78,2021-11-17,0.365079,12,1.3650793650793651,0.9939629150495904
3494.TW,2024-11-25,15.8,7.88,2024-11-13,1.005076,12,2.00507614213198,0.9939629150495904
3516.TWO,2017-11-13,14.35,11.0,2017-11-01,0.304545,12,1.3045454545454545,0.9853385079775764
3520.TWO,2019-01-02,10.55,5.53,2018-12-20,0.907776,13,1.9077757685352623,0.9969814575247952
3522.TWO,2022-08-26,14.05,9.33,2022-08-17,0.505895,9,1.5058949624866025,0.9969814575247952
3523.TWO,2018-09-03,12.05,6.3,2018-08-22,0.912698,12,1.9126984126984128,0.9478223372143164
3523.TWO,2021-11-29,13.3,7.34,2021-11-17,0.811989,12,1.811989100817439,0.9478223372143164
3526.TWO,2021-03-29,168.0,127.0,2021-03-17,0.322835,12,1.3228346456692914,0.9969814575247952
3532.TW,2018-09-25,163.0,79.3,2018-09-12,1.055485,13,2.055485498108449,0.9969814575247952
3545.TW,2020-10-26,47.0,33.5,2020-10-14,0.402985,12,1.4029850746268655,0.9965502371711944
3555.TWO,2021-10-06,42.5,30.1,2021-09-28,0.41196,8,1.4119601328903657,0.9409228115567054
3557.TW,2017-10-16,13.2,6.63,2017-09-29,0.99095,17,1.990950226244344,0.9935316946959896
3557.TW,2020-01-20,50.0,38.05,2020-01-08,0.31406,12,1.314060446780552,0.9935316946959896
3580.TWO,2017-10-30,76.1,37.2,2017-10-18,1.045699,12,2.0456989247311825,0.9969814575247952
3593.TW,2018-10-29,10.6,6.58,2018-10-17,0.610942,12,1.6109422492401215,0.9922380336351876
3593.TW,2025-12-22,12.3,8.1,2025-12-10,0.518519,12,1.5185185185185186,0.9922380336351876
